,0,0,0,0
273,https://www.zerozero.pt/jogo.php?id=7642919,2021-05-09,Boavista,CD Tondela
274,https://www.zerozero.pt/jogo.php?id=7642911,2021-05-09,Farense,V. Guimarães
275,https://www.zerozero.pt/jogo.php?id=7642909,2021-05-09,FC Famalicão,Santa Clara
276,https://www.zerozero.pt/jogo.php?id=7642905,2021-05-09,SC Braga,Paços de Ferreira
277,https://www.zerozero.pt/jogo.php?id=7642903,2021-05-09,Marítimo,Gil Vicente
278,https://www.zerozero.pt/jogo.php?id=7642907,2021-05-09,Moreirense,Nacional
279,https://www.zerozero.pt/jogo.php?id=7642961,2021-05-12,Nacional,Benfica
280,https://www.zerozero.pt/jogo.php?id=7642959,2021-05-12,CD Tondela,Belenenses SAD
281,https://www.zerozero.pt/jogo.php?id=7642957,2021-05-12,V. Guimarães,FC Famalicão
282,https://www.zerozero.pt/jogo.php?id=7642963,2021-05-12,Sporting,Boavista
283,https://www.zerozero.pt/jogo.php?id=7642971,2021-05-12,FC Porto,Farense
284,https://www.zerozero.pt/jogo.php?id=7642965,2021-05-12,Gil Vicente,SC Braga
285,https://www.zerozero.pt/jogo.php?id=7642969,2021-05-12,Portimonense,Moreirense
286,https://www.zerozero.pt/jogo.php?id=7642973,2021-05-12,Santa Clara,Rio Ave
287,https://www.zerozero.pt/jogo.php?id=7642967,2021-05-12,Paços de Ferreira,Marítimo
288,https://www.zerozero.pt/jogo.php?id=7643003,2021-05-16,Rio Ave,FC Porto
289,https://www.zerozero.pt/jogo.php?id=7643007,2021-05-16,Benfica,Sporting
290,https://www.zerozero.pt/jogo.php?id=7643009,2021-05-16,Farense,CD Tondela
291,https://www.zerozero.pt/jogo.php?id=7643001,2021-05-16,SC Braga,Moreirense
292,https://www.zerozero.pt/jogo.php?id=7643005,2021-05-16,Boavista,Portimonense
293,https://www.zerozero.pt/jogo.php?id=7642999,2021-05-16,Marítimo,V. Guimarães
294,https://www.zerozero.pt/jogo.php?id=7642995,2021-05-16,FC Famalicão,Nacional
295,https://www.zerozero.pt/jogo.php?id=7642993,2021-05-16,Paços de Ferreira,Gil Vicente
296,https://www.zerozero.pt/jogo.php?id=7642997,2021-05-16,Belenenses SAD,Santa Clara
297,https://www.zerozero.pt/jogo.php?id=7643059,2021-05-19,Sporting,Marítimo
298,https://www.zerozero.pt/jogo.php?id=7643061,2021-05-19,Santa Clara,Farense
299,https://www.zerozero.pt/jogo.php?id=7643063,2021-05-19,Nacional,Rio Ave
